T,M3 F1,M3 P1,M3 V1,M3 A1,M3 F2,M3 P2,M3 V2,M3 A2,M3 F3,M3 P3,M3 V3,M3 A3,M3 F4,M3 P4,M3 V4,M3 A4,M3 F5,M3 P5,M3 V5,M3 A5
0.04,9.89074,0.50462,-0.01982,0.12042,9.98637,0.50352,0.03011,-0.08784,9.22817,0.52136,0.00572,-0.14191,9.79511,0.51285,0.18103,2.72214,9.87708,0.50243,0.00152,0.02313
0.08,9.96588,0.50380,-0.01677,0.15291,9.92489,0.50490,0.02620,-0.10450,9.23500,0.52191,-0.00172,-0.08795,9.68582,0.51807,0.26887,3.42764,9.89074,0.50243,0.00305,0.00267
0.12,10.00003,0.50270,-0.00629,0.14109,9.91806,0.50544,0.02481,-0.17480,9.22817,0.52109,-0.00389,-0.01993,9.32380,0.52877,0.41995,4.23954,9.87025,0.50270,0.00263,-0.01302
0.16,10.02735,0.50352,-0.00114,0.04473,9.84293,0.50709,0.01791,-0.34608,9.23500,0.52136,-0.00076,-0.00058,8.59292,0.54853,0.63360,4.38355,9.87025,0.50270,0.00114,0.01413
0.20,10.05468,0.50298,-0.00400,-0.01231,9.85659,0.50764,-0.00591,-0.43578,9.22134,0.52136,-0.00381,0.01445,7.49319,0.58036,0.83120,2.98982,9.89074,0.50298,-0.00152,0.18891
0.24,10.06834,0.50325,-0.00724,0.05412,9.88391,0.50654,-0.02744,-0.28467,9.21451,0.52081,-0.00152,0.06000,6.04510,0.61960,0.90762,0.55026,9.89074,0.50215,0.00781,0.57725
0.28,10.08200,0.50215,-0.00457,0.23621,9.89074,0.50462,-0.03087,-0.06908,9.22817,0.52109,0.00362,0.04698,4.56968,0.65636,0.87579,-2.09360,9.87708,0.50243,0.04497,1.04289
0.32,10.08883,0.50215,0.01524,0.34935,9.95222,0.50380,-0.02611,0.01125,9.21451,0.52136,0.00343,0.00768,3.20356,0.69259,0.74050,-4.71929,9.87025,0.50599,0.08804,1.67517
0.36,10.06151,0.50380,0.02763,0.36986,9.98637,0.50298,-0.02839,0.04367,9.22134,0.52136,0.00305,-0.00781,2.02869,0.71948,0.49030,-6.94800,9.76779,0.50901,0.15473,2.85807
0.40,10.04784,0.50435,0.04173,0.45204,9.97271,0.50133,-0.02611,0.12995,9.22134,0.52163,0.00172,0.00318,-0.62842,0.73539,0.14558,-8.03390,9.46724,0.51477,0.31213,4.08424
0.44,9.97954,0.50682,0.06231,0.59840,10.04784,0.50051,-0.01601,0.16872,9.21451,0.52136,0.00267,0.04565,0.90847,0.73128,-0.20904,-7.56731,8.96861,0.53261,0.50993,4.52596
0.48,9.86342,0.50929,0.08632,0.91043,10.06151,0.50023,-0.00915,0.13220,9.22134,0.52191,0.00553,0.07702,2.05602,0.71564,-0.48878,-6.14052,8.16942,0.55539,0.71173,3.87397
0.52,9.72681,0.51368,0.12100,1.62263,10.06151,0.49996,-0.00610,0.10189,9.22134,0.52191,0.00534,0.14093,2.93717,0.69066,-0.71115,-4.24251,6.91259,0.59133,0.85845,2.10180
0.56,9.54238,0.51779,0.19551,2.77536,10.10932,0.49968,-0.00267,0.11116,9.22134,0.52109,0.02801,-0.03613,4.13936,0.65582,-0.84283,-1.88332,5.43717,0.62783,0.89790,-0.25937
0.60,9.20085,0.52602,0.34910,3.70631,10.08883,0.49968,0.00248,0.14411,9.22817,0.52602,0.01105,-0.37846,5.69674,0.61987,-0.86779,0.69553,4.09154,0.66624,0.83921,-2.75895
0.64,8.66806,0.54441,0.53527,3.58271,10.08200,0.49996,0.00686,0.24269,9.25549,0.52273,-0.02287,-0.27273,6.85111,0.58392,-0.80091,3.52819,2.75957,0.69807,0.67533,-5.15598
0.68,7.84838,0.57185,0.65913,2.73553,10.10932,0.49996,0.01887,0.44860,9.24183,0.52218,-0.01563,-0.01641,8.08063,0.54990,-0.57491,5.93647,1.66667,0.72332,0.41884,-7.15443
0.72,6.72816,0.59792,0.75117,1.69303,10.04101,0.50133,0.03773,0.82878,9.24866,0.52218,-0.01867,0.17322,8.83882,0.53535,-0.27326,6.92802,-1.82378,0.73567,0.06079,-7.98031
0.76,5.43034,0.63167,0.82282,-0.08204,9.98637,0.50243,0.07470,1.52841,9.24183,0.52026,-0.00724,0.47387,9.06423,0.52849,0.02477,6.66190,0.96995,0.72661,-0.27154,-7.36233
0.80,4.13253,0.66844,0.77042,-2.43514,9.91123,0.50627,0.14882,2.51388,9.20768,0.52081,0.02153,0.73920,9.09839,0.53920,0.27916,5.74750,2.32924,0.71152,-0.54137,-6.06112
0.84,2.97132,0.69725,0.60844,-4.35367,9.67899,0.51285,0.26754,3.60693,9.16669,0.52218,0.05183,1.05983,8.37434,0.55319,0.47124,4.93380,3.34017,0.68380,-0.78890,-3.78584
0.88,2.09700,0.71838,0.39597,-5.63290,9.30331,0.52438,0.46191,4.06532,9.07107,0.52465,0.09528,1.66736,7.39756,0.57514,0.68200,3.80449,4.74045,0.64292,-0.88380,-0.57418
0.92,1.45492,0.72963,0.14749,-6.50271,8.64074,0.55127,0.63074,3.53481,8.94128,0.52849,0.17531,2.54180,6.27051,0.61027,0.81748,1.64883,6.05876,0.60725,-0.81920,2.31141
0.96,1.42760,0.73073,-0.12215,-7.10388,7.60931,0.57706,0.74583,2.69821,8.72270,0.53755,0.29612,3.40459,4.84974,0.64511,0.82777,-0.94934,7.32243,0.57514,-0.66599,4.34056
1.00,2.13798,0.72359,-0.46229,-6.49953,6.20220,0.60944,0.86893,1.15260,8.20358,0.55045,0.45867,3.82461,3.66121,0.67914,0.74126,-3.55267,8.46314,0.55209,-0.45181,5.66678
1.04,2.97815,0.69066,-0.71820,-4.01609,4.77460,0.65060,0.87941,-1.40151,7.48636,0.57240,0.65361,2.93839,2.52733,0.70878,0.53146,-5.72236,8.92079,0.53700,-0.18446,6.18009
1.08,4.11203,0.65883,-0.79062,-1.18092,3.38799,0.68463,0.75670,-4.02430,6.41395,0.60780,0.72926,1.09980,1.75547,0.72442,0.24182,-6.75215,9.14620,0.53892,0.05698,6.17678
1.12,5.37570,0.62563,-0.78452,1.08273,2.20629,0.71371,0.54156,-6.21860,5.18444,0.63359,0.72354,-0.54533,1.25000,0.72716,-0.04002,-6.76618,8.89347,0.54057,0.31404,5.86024
1.16,6.58472,0.59353,-0.69362,2.97942,1.13388,0.73100,0.23553,-7.60780,4.11203,0.66542,0.68905,-2.29633,1.80328,0.72195,-0.32433,-5.95420,8.14893,0.56389,0.56100,4.62375
1.20,7.71860,0.56773,-0.53184,4.44193,0.08197,0.73402,-0.10824,-7.76051,3.01913,0.69204,0.55928,-4.31370,2.49318,0.69945,-0.55528,-4.16840,6.98773,0.58969,0.70372,2.75776
1.24,8.44265,0.55045,-0.33519,5.67816,1.66667,0.72167,-0.43237,-6.57218,2.28826,0.71481,0.31823,-5.65831,3.40165,0.67173,-0.64656,-2.47352,5.79237,0.62152,0.78623,0.60065
1.28,8.76369,0.53810,-0.06822,6.45983,2.78689,0.69588,-0.66047,-4.52966,2.00137,0.71756,0.05831,-5.82332,4.74728,0.64923,-0.74012,-0.94973,4.54919,0.65499,0.77880,-2.11623
1.32,8.83199,0.54331,0.23095,5.97206,3.81832,0.66624,-0.80129,-2.18583,1.90574,0.71673,-0.14940,-5.67154,5.99045,0.61054,-0.76032,1.33071,3.18307,0.69039,0.60673,-4.50135
1.36,8.26505,0.56032,0.44571,4.49354,5.23909,0.62865,-0.84187,0.32474,2.49318,0.70823,-0.40036,-5.16366,7.06286,0.58228,-0.63036,3.45951,2.36339,0.70548,0.36606,-5.60630
1.40,7.35658,0.58173,0.58062,3.01567,6.67352,0.59490,-0.76603,2.59023,3.25137,0.68353,-0.60902,-3.51985,8.10112,0.55840,-0.44285,4.67629,1.63935,0.71810,0.14215,-6.09540
1.44,6.36614,0.60642,0.69515,1.29882,7.66396,0.56554,-0.62216,4.49102,4.22815,0.65472,-0.69801,-1.38695,8.70904,0.54715,-0.23800,5.34813,1.38661,0.71920,-0.13129,-6.11233
1.48,5.13663,0.64155,0.69839,-0.72186,8.71587,0.54249,-0.39693,6.00448,5.47133,0.62563,-0.71192,0.67356,8.82516,0.53947,-0.02839,6.06999,2.03552,0.70658,-0.37539,-5.33119
1.52,3.91395,0.66460,0.62712,-2.52817,9.11888,0.53206,-0.12100,6.83578,6.49592,0.59545,-0.64389,2.64608,8.66123,0.54084,0.26678,6.17810,2.72542,0.68765,-0.57605,-3.96726
1.56,2.92350,0.69313,0.49716,-4.24463,8.99593,0.53179,0.18122,6.73918,7.45904,0.57103,-0.48992,4.22875,7.94401,0.56252,0.51945,4.92269,3.64755,0.65856,-0.71077,-2.05641
1.60,2.21312,0.70823,0.26887,-5.34826,8.66806,0.54770,0.45238,5.63939,8.24456,0.55401,-0.27478,5.01585,6.97406,0.58584,0.68047,3.01528,5.01368,0.62755,-0.74926,0.10309
1.64,1.83744,0.71509,0.02992,-5.48588,7.66396,0.57048,0.65056,3.92637,8.43582,0.54990,-0.06631,5.17941,5.84701,0.61905,0.76756,0.83024,6.11341,0.59572,-0.69839,2.17101
1.68,1.91257,0.70905,-0.18751,-5.10107,6.53690,0.60176,0.77937,1.80313,8.42899,0.54935,0.13263,5.28805,4.54236,0.65143,0.73955,-1.26243,7.17215,0.56911,-0.56462,3.91909
1.72,2.46585,0.69780,-0.35405,-4.90866,5.26641,0.63661,0.79862,-0.46818,8.05330,0.55840,0.36892,4.92983,3.55192,0.67887,0.66237,-3.24844,8.13527,0.54880,-0.37273,5.24716
1.76,3.29236,0.68627,-0.61149,-3.82884,3.89345,0.66789,0.73783,-2.63668,7.13117,0.57981,0.57129,3.45250,2.63662,0.70685,0.50192,-5.48694,8.53828,0.53728,-0.12577,5.99350
1.80,4.34427,0.64457,-0.75155,-0.80298,2.87569,0.69835,0.58882,-4.68992,6.20220,0.60807,0.66961,1.28665,1.90574,0.72606,0.18389,-6.65687,8.71587,0.53865,0.13129,6.00832
1.84,5.49182,0.61493,-0.63931,1.49771,1.95356,0.71893,0.33728,-5.99721,5.12297,0.63661,0.66847,-0.83500,1.96039,0.71975,-0.10766,-5.98821,8.42899,0.54853,0.36796,5.51314
1.88,6.62570,0.59600,-0.55071,2.14362,1.18170,0.72579,0.06822,-6.28317,3.96176,0.66377,0.59148,-2.65084,2.09017,0.71207,-0.28564,-5.19621,7.62297,0.56773,0.59834,4.27678
1.92,7.57516,0.57432,-0.50345,3.39229,1.51640,0.72277,-0.17798,-6.10836,3.14208,0.68627,0.44304,-4.05698,2.71176,0.70054,-0.51602,-4.33540,6.76915,0.60011,0.73059,2.45578
1.96,8.23773,0.55017,-0.32909,5.50692,2.27460,0.71070,-0.40455,-5.92998,2.47951,0.70027,0.25439,-5.03292,3.66121,0.66871,-0.68105,-2.40206,5.58745,0.62838,0.79366,0.50074
2.00,8.54511,0.54194,-0.01486,6.47360,3.12842,0.69451,-0.69248,-4.61594,2.17214,0.70795,0.02858,-5.55417,4.65165,0.64045,-0.71058,-0.33480,4.34427,0.66542,0.78204,-1.76912
2.04,8.45631,0.55100,0.26544,5.57256,4.29646,0.65115,-0.86303,-1.29842,2.32924,0.70356,-0.21895,-5.24689,5.87433,0.61109,-0.69172,1.44743,3.42897,0.69423,0.66752,-4.25561
2.08,7.98500,0.56746,0.44495,4.07590,5.64209,0.61466,-0.77766,1.69065,2.70492,0.68847,-0.41751,-4.15583,6.86477,0.58283,-0.59739,3.20133,2.55465,0.72414,0.41846,-6.07369
2.12,7.13800,0.58776,0.57529,2.75697,6.72816,0.58886,-0.65342,3.08541,3.49728,0.66871,-0.56481,-2.61246,7.69128,0.56060,-0.42761,4.68952,2.07651,0.72908,0.12253,-6.41921
2.16,6.16122,0.61411,0.66961,1.32132,7.80057,0.56417,-0.53451,4.33805,4.50821,0.64100,-0.64008,-0.72954,8.39483,0.54743,-0.21075,5.78019,2.13798,0.73073,-0.11186,-6.12067
2.20,5.09564,0.64347,0.69820,-0.49796,8.57243,0.54249,-0.33042,5.89505,5.43717,0.61356,-0.61130,0.92075,8.50412,0.54194,0.05240,6.24400,2.36339,0.72140,-0.36587,-5.54530
2.24,3.95493,0.67310,0.63493,-2.42773,8.75686,0.53398,-0.03563,6.77690,6.53007,0.59188,-0.55318,2.28455,8.23090,0.55072,0.33023,5.59506,3.03963,0.70109,-0.58863,-4.07749
2.28,3.08061,0.69698,0.49201,-4.05433,8.75003,0.54084,0.25077,6.53209,7.43172,0.56801,-0.44399,3.87714,7.76642,0.57185,0.52879,4.04507,3.96176,0.67146,-0.72945,-1.73631
2.32,2.48634,0.71426,0.28984,-5.13335,8.20358,0.55456,0.50878,5.42726,7.91669,0.55237,-0.23610,5.18576,6.84428,0.59490,0.65589,2.21905,4.92488,0.63688,-0.71992,0.48843
2.36,2.15848,0.72003,0.07432,-5.84344,7.21314,0.58118,0.74469,2.89671,8.29237,0.54798,0.00724,5.57044,5.77187,0.62453,0.74183,-0.29139,6.14756,0.61246,-0.65265,1.87380
2.40,2.29509,0.72250,-0.19113,-5.98980,6.17488,0.62399,0.74660,0.22814,8.16942,0.55401,0.23362,5.21355,4.76094,0.66350,0.61492,-2.26219,7.09018,0.58502,-0.57014,3.15912
2.44,2.74591,0.70521,-0.45638,-4.80703,4.98635,0.64210,0.69286,-0.83712,7.65030,0.56746,0.43466,4.36677,3.63389,0.67393,0.47639,-2.50117,7.79374,0.56389,-0.40912,4.54409
2.48,3.45629,0.68134,-0.60578,-2.80699,3.79099,0.67777,0.66904,-1.67954,6.98773,0.58914,0.60482,2.89750,2.88252,0.69533,0.43656,-3.23759,8.42899,0.55072,-0.19932,5.67511
2.52,4.41941,0.65390,-0.67018,-0.92274,2.86886,0.69807,0.56500,-2.81903,5.99729,0.61877,0.69400,0.77043,2.41121,0.71152,0.31823,-5.87718,8.38117,0.54606,0.06612,6.10307
2.56,5.43034,0.62591,-0.66694,0.68600,2.16531,0.71756,0.54042,-5.95724,4.98635,0.64978,0.65094,-1.12057,2.15848,0.73347,-0.06974,-7.51980,8.07379,0.55566,0.32985,5.35289
2.60,6.47543,0.59929,-0.61607,2.24789,1.87842,0.76009,0.09547,-8.97120,4.07105,0.66981,0.59358,-2.70986,2.48634,0.70493,-0.44285,-5.51500,7.57516,0.57404,0.54232,3.39639
2.64,7.35658,0.57404,-0.49030,3.83493,2.06285,0.72551,-0.36301,-7.68402,3.19673,0.70054,0.45124,-4.47263,3.04646,0.68545,-0.53375,-2.67347,6.53007,0.60533,0.60139,1.32105
2.68,7.93718,0.55813,-0.30203,5.17319,2.48634,0.71893,-0.56366,-4.95312,2.67760,0.71124,0.18560,-5.08029,3.79099,0.66240,-0.59148,-1.08445,5.53963,0.62316,0.61111,-0.00423
2.72,8.28554,0.54825,-0.06307,6.00554,3.40165,0.68106,-0.73269,-2.42270,2.46585,0.70960,0.02515,-5.10332,4.92488,0.63716,-0.59987,-0.07821,4.54919,0.65335,0.61264,-1.47006
2.76,8.18308,0.55127,0.21418,5.80572,4.43307,0.65527,-0.74850,-0.20260,2.47268,0.71618,-0.19742,-5.36308,5.89483,0.61466,-0.60349,0.94484,3.48362,0.67694,0.50097,-3.00800
2.80,7.69128,0.56718,0.44666,4.37113,5.47133,0.62042,-0.73307,1.50751,3.01230,0.69643,-0.45695,-4.31317,6.88527,0.58722,-0.55433,2.61882,2.86203,0.69478,0.34662,-4.04878
2.84,7.00822,0.59078,0.57510,2.47974,6.67352,0.59325,-0.61950,2.95070,3.67487,0.67393,-0.58348,-2.29037,7.72543,0.56554,-0.38568,4.10687,2.39072,0.70384,0.18103,-5.06335
2.88,6.09291,0.61411,0.65094,0.48274,7.58882,0.57048,-0.48382,4.02615,4.49455,0.64676,-0.62540,-0.45760,8.07379,0.55648,-0.20046,4.96212,2.23361,0.71179,-0.04573,-6.03519
2.92,5.02734,0.64813,0.60216,-1.20553,8.19675,0.55319,-0.30051,5.08307,5.58745,0.62206,-0.59911,0.93015,8.29921,0.54825,0.02115,5.41906,2.60247,0.70493,-0.36453,-5.41972
2.96,4.09837,0.66350,0.50535,-1.87631,8.56560,0.54468,-0.07089,5.86144,6.44811,0.59874,-0.55185,2.26113,8.10795,0.55758,0.25534,5.20799,3.05329,0.67694,-0.55090,-3.09309
3.00,3.25821,0.68353,0.48973,-3.26048,8.38800,0.54633,0.19170,5.93607,7.24729,0.57542,-0.43104,3.77035,7.38390,0.57048,0.45143,4.41652,3.83881,0.65472,-0.58710,-1.10681
3.04,2.65711,0.71152,0.27707,-5.23538,7.89620,0.56060,0.43656,5.01161,7.86205,0.56142,-0.23686,4.86777,6.65302,0.59298,0.63550,2.76822,4.92488,0.63085,-0.60692,0.21821
3.08,2.42487,0.70768,0.00667,-5.74882,7.10385,0.58255,0.62998,3.05180,8.03964,0.55511,-0.00572,5.07248,5.68991,0.62371,0.73345,-0.18778,5.79237,0.60533,-0.58634,1.76515
3.12,2.47951,0.70850,-0.20313,-5.49462,6.07242,0.61520,0.70563,0.47864,7.95084,0.56279,0.18884,4.71797,4.57652,0.66158,0.60101,-2.65613,6.78281,0.58008,-0.46991,3.31924
3.16,2.90301,0.69478,-0.46381,-4.21273,5.03417,0.64429,0.64217,-1.53358,7.53418,0.57158,0.36053,4.30907,3.72269,0.67228,0.43218,-3.14959,7.64347,0.56609,-0.30013,4.36333
3.20,3.64072,0.66652,-0.59053,-1.78302,3.92078,0.66652,0.55071,-2.75141,6.76915,0.58969,0.54651,3.31342,2.96449,0.69094,0.35310,-3.49511,7.99866,0.55539,-0.10309,4.88762
3.24,4.49455,0.64210,-0.58539,0.17216,3.00547,0.68902,0.42875,-3.94741,5.99729,0.61438,0.71649,0.39355,2.48634,0.70493,0.18522,-4.39826,8.21724,0.55758,0.10519,4.91647
3.28,5.53963,0.61822,-0.52651,1.04779,2.50001,0.70411,0.22619,-4.85242,5.00001,0.66076,0.58253,-2.57396,2.37022,0.70740,-0.02401,-4.78983,8.05330,0.56417,0.30032,4.54965
3.32,6.47543,0.60231,-0.49659,1.74544,2.15848,0.70631,0.02706,-5.31055,4.03007,0.66295,0.38092,-2.80778,2.52050,0.70082,-0.20180,-4.92718,7.39756,0.58118,0.49335,3.55148
3.36,7.26095,0.57761,-0.43313,3.33869,2.26776,0.70823,-0.21266,-5.23578,3.39482,0.68079,0.37025,-3.08554,3.11476,0.69451,-0.43656,-4.38767,6.71450,0.60725,0.59873,2.13634
3.40,7.90986,0.56142,-0.22638,4.80213,2.84154,0.68929,-0.43999,-3.97295,2.78689,0.69999,0.20294,-4.56063,3.91395,0.66405,-0.61302,-2.40140,5.73089,0.63057,0.65246,0.85419
3.44,8.11478,0.55895,0.00553,4.99361,3.54509,0.66762,-0.54061,-2.37003,2.54099,0.70109,-0.04554,-4.93182,4.74045,0.63908,-0.63436,-0.16277,4.63116,0.65911,0.68352,-0.73642
3.48,7.99183,0.56417,0.19437,4.49169,4.50138,0.64539,-0.60692,-1.12719,2.74591,0.69313,-0.24067,-4.14419,5.84701,0.61219,-0.60101,1.59934,3.83881,0.69039,0.59987,-2.47471
3.52,7.61614,0.57459,0.36777,3.72152,5.64892,0.61877,-0.64141,0.38177,3.08744,0.67969,-0.37787,-3.08449,6.80330,0.58941,-0.50421,3.18453,3.04646,0.70932,0.44762,-3.63657
3.56,6.87160,0.59462,0.50478,2.59142,6.61887,0.59133,-0.59720,2.34701,3.78416,0.66240,-0.48401,-1.99382,7.45221,0.56938,-0.34129,4.49486,2.57514,0.72085,0.35958,-5.79461
3.60,5.99729,0.61713,0.58119,1.24986,7.45904,0.56773,-0.45695,4.35697,4.70630,0.63963,-0.54556,-0.69791,8.03964,0.56005,-0.12005,5.11271,2.50684,0.74829,0.03697,-8.61536
3.64,5.04783,0.64237,0.61187,-0.34882,8.08746,0.55182,-0.22867,5.74565,5.54646,0.61685,-0.54861,0.82442,8.16942,0.56032,0.09223,4.99891,2.57514,0.73347,-0.48192,-7.79253
3.68,4.08471,0.66844,0.56385,-2.20012,8.31970,0.54770,0.04421,5.95632,6.49592,0.59353,-0.48363,2.45473,7.90986,0.56746,0.30108,4.20453,3.18307,0.69698,-0.71954,-3.76638
3.72,3.32651,0.68984,0.44209,-4.08106,8.18308,0.55621,0.29346,4.96503,7.24729,0.57597,-0.34700,3.87159,7.45904,0.58667,0.44380,2.89962,3.97542,0.66707,-0.73135,-0.53581
3.76,2.78006,0.70823,0.20961,-5.20667,7.68445,0.57514,0.44990,3.59872,7.68445,0.56389,-0.15911,4.77302,6.59838,0.60368,0.54880,1.22088,4.77460,0.63853,-0.69229,1.10033
3.80,2.51367,0.70603,-0.02058,-5.14169,6.89210,0.59325,0.56023,2.57726,7.96450,0.56115,0.07698,4.59226,5.66942,0.63496,0.54251,-0.44132,5.90166,0.61164,-0.63131,2.16810
3.84,2.64345,0.70466,-0.20999,-4.66451,5.99045,0.61905,0.67476,1.10575,7.79374,0.57377,0.23210,3.72126,4.76777,0.64923,0.47506,-1.25793,6.81013,0.58667,-0.53165,3.35881
3.88,3.00547,0.68984,-0.40017,-3.86113,4.89072,0.65225,0.66085,-0.74237,7.32243,0.58036,0.36148,2.98603,3.75684,0.67063,0.43999,-2.00308,7.43855,0.56636,-0.36148,4.49618
3.92,3.66804,0.67091,-0.53699,-2.55980,3.90711,0.67118,0.62960,-2.90478,6.71450,0.60231,0.48287,1.93745,3.10110,0.68682,0.34071,-3.25215,7.99183,0.55676,-0.15283,5.11642
3.96,4.57652,0.64511,-0.61873,-0.86147,3.20356,0.70878,0.44114,-5.16789,5.79237,0.62206,0.52517,0.66258,2.68443,0.70027,0.17931,-4.45371,8.06013,0.55429,0.05850,5.25311
4.00,5.47133,0.61850,-0.61302,1.06645,2.53416,0.71097,0.14463,-5.69219,4.91122,0.64484,0.53927,-0.73496,2.47951,0.70301,-0.03697,-5.06123,7.86205,0.55923,0.30336,4.43081
4.04,6.40712,0.59380,-0.53051,2.88774,2.31558,0.71536,-0.05488,-5.11218,4.10520,0.66789,0.47220,-2.20687,2.81421,0.69752,-0.25839,-4.73014,7.39073,0.58255,0.45143,2.71925
4.08,7.21997,0.57350,-0.37520,4.43439,2.51367,0.70685,-0.25515,-4.45715,3.28553,0.68463,0.34643,-3.14880,3.29236,0.68106,-0.44399,-3.56114,6.48909,0.60011,0.48839,1.57447
4.12,7.70494,0.56115,-0.14387,5.02488,2.88252,0.69423,-0.41751,-3.57795,2.87569,0.69752,0.18922,-3.47102,4.04373,0.65938,-0.55471,-1.97860,5.60794,0.61877,0.55890,0.74145
4.16,7.95084,0.56389,0.05645,4.51890,3.65438,0.67283,-0.55795,-2.33656,2.73225,0.69780,0.04840,-3.49008,5.06832,0.63496,-0.60540,-0.25540,4.69947,0.64539,0.59644,-1.07399
4.20,7.88937,0.56252,0.27864,2.68739,4.59018,0.64594,-0.60578,-0.96535,2.78689,0.69533,0.01029,-5.34919,5.88800,0.60834,-0.57662,1.49864,3.68853,0.67310,0.47925,-2.99741
4.24,7.45904,0.59161,0.31046,1.05470,5.57379,0.62426,-0.62979,0.39395,3.30602,0.71646,-0.39102,-6.59627,6.75548,0.58667,-0.47887,3.04532,3.09427,0.68490,0.31518,-3.98248
4.28,7.12092,0.60245,0.32173,0.98445,6.56423,0.59435,-0.60120,2.34225,3.96176,0.66185,-0.73078,-3.11863,7.51368,0.56828,-0.32433,4.26805,2.65711,0.69807,0.14139,-4.37510
4.32,6.78281,0.60245,0.32173,0.98445,7.37707,0.57130,-0.44762,4.33474,4.74728,0.63853,-0.64160,0.63770,7.82789,0.55868,-0.11586,4.85440,2.40438,0.69670,-0.04402,-4.38397
4.36,5.92898,0.61328,0.33300,0.91421,7.94401,0.55621,-0.22238,5.48946,5.72406,0.61356,-0.56976,2.13515,7.93035,0.55923,0.09128,4.69349,2.76640,0.69396,-0.21380,-4.16734
4.40,5.01368,0.63688,0.46481,0.91309,8.17625,0.55292,0.02515,5.67604,6.49592,0.59216,-0.44704,2.80421,7.71177,0.56718,0.26983,4.16112,3.25821,0.68024,-0.39178,-3.50503
4.44,4.14619,0.65801,0.46605,-0.83043,7.99866,0.55868,0.26201,4.94452,7.19264,0.57898,-0.35253,3.39626,7.10385,0.58145,0.42723,3.39506,3.98225,0.66076,-0.51602,-2.23056
4.48,3.36750,0.67694,0.38588,-2.63549,7.58882,0.57651,0.43047,3.73793,7.70494,0.56197,-0.20218,4.49235,6.38663,0.60203,0.55395,2.18623,5.04100,0.63716,-0.58367,-0.54070
4.52,2.88935,0.69066,0.23400,-3.91267,6.85794,0.59270,0.57853,2.04688,7.75959,0.55895,0.03392,4.88193,5.46450,0.62673,0.63474,0.18659,5.91532,0.61136,-0.56690,1.35983
4.56,2.71859,0.69615,0.05926,-4.65746,5.86750,0.62673,0.62197,-0.19955,7.65030,0.56636,0.23419,4.15292,4.52870,0.65774,0.58558,-2.15407,6.80330,0.58914,-0.46972,3.08118
4.60,2.75957,0.69725,-0.15702,-4.76905,4.93854,0.64841,0.52117,-1.55475,7.22680,0.58008,0.37749,2.98564,3.78416,0.67777,0.42456,-3.59409,7.58199,0.57130,-0.30070,4.24912
4.64,3.24454,0.68326,-0.36072,-3.85028,4.02324,0.66487,0.47163,-2.30334,6.43445,0.59819,0.46553,1.84455,3.06012,0.69094,0.26182,-4.09350,7.86888,0.56444,-0.10519,4.70606
4.68,3.92078,0.66515,-0.48172,-2.39412,3.17624,0.68792,0.36739,-3.54751,5.71723,0.61740,0.53241,0.53329,2.68443,0.69862,0.09337,-4.31053,8.01915,0.56307,0.08956,4.66041
4.72,4.70630,0.64347,-0.55452,-0.76924,2.69809,0.69807,0.17817,-4.48785,4.82925,0.64374,0.51965,-1.01219,2.73225,0.69890,-0.08365,-4.35777,7.81423,0.57130,0.28488,4.06479
4.76,5.64892,0.61822,-0.54670,0.92883,2.52050,0.70219,-0.02287,-4.67165,3.94810,0.66130,0.43942,-2.29050,2.90301,0.69259,-0.27154,-3.92134,7.15166,0.58749,0.43370,2.92225
4.80,6.50275,0.59764,-0.47506,2.44255,2.61613,0.69560,-0.21323,-4.27308,3.39482,0.67941,0.32928,-3.34729,3.48362,0.67612,-0.42399,-2.80514,6.48226,0.60780,0.52746,1.48303
4.84,7.18581,0.57789,-0.33690,3.56829,3.11476,0.68435,-0.37444,-3.49564,2.95766,0.68957,0.16559,-4.13241,4.33744,0.65609,-0.50897,-1.33217,5.51231,0.63167,0.55738,-0.11499
4.88,7.66396,0.57020,-0.17283,4.20321,3.84564,0.66487,-0.50745,-2.29183,2.79372,0.69341,-0.01906,-4.37696,5.12297,0.63249,-0.51488,-0.10520,4.52870,0.65472,0.51622,-1.65360
4.92,7.81423,0.56389,0.00229,4.57029,4.74045,0.64100,-0.56481,-0.79994,3.06695,0.68820,-0.20713,-3.95866,6.07242,0.61575,-0.51545,1.09477,3.81149,0.67475,0.41808,-2.98683
4.96,7.67762,0.56828,0.21685,4.23920,5.71723,0.61905,-0.58177,0.98626,3.44946,0.67557,-0.35634,-2.95665,6.89210,0.58914,-0.45219,2.75525,3.04646,0.68984,0.26735,-4.01384
5.00,7.24046,0.58337,0.37749,3.00813,6.57789,0.59133,-0.50421,3.07072,4.17351,0.65774,-0.45200,-1.68589,7.43855,0.57514,-0.28012,4.01172,2.65711,0.69698,0.08651,-4.66954
5.04,6.53007,0.60176,0.45581,1.67861,7.37707,0.57377,-0.30699,4.37166,5.02051,0.63716,-0.48287,-0.50987,7.84838,0.56691,-0.09833,4.43359,2.71859,0.69780,-0.12119,-4.81100
5.08,5.73089,0.62014,0.50478,0.43391,7.84155,0.56691,-0.10099,4.38212,5.76504,0.61932,-0.49678,0.76778,7.82789,0.56718,0.09090,4.30007,2.88935,0.68737,-0.32623,-4.14974
